Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
8/14/17,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,"I am an XXXX XXXX veteran. I have been considered XXXX XXXX XXXX XXXX by the Department of Veteran Affairs ( VA ) due to my XXXX XXXX XXXX, effective XX/XX/XXXX. On XX/XX/XXXX, the U.S. Department of Education and XXXX ( XXXX Discharge ) approved my XXXX XXXX XXXX XXXX ( XXXX  ) discharge application of my federal student loans on the basis of my XXXX XXXX XXXX XXXX. Copies of the aboved documentation were sent to Navient and XXXX XXXX via certified mail on XX/XX/XXXX. Thereafter, numerous telephone requests to cancel the remaining outstanding balance of my student loans indebtedness due to my XXXX XXXX XXXX were made to Navient. I also sent an email to XXXX, to no avail. On XX/XX/XXXX, I sent a second certified mail to Navient requesting that they discharge my student loans and to report to the three ( 3 ) credit bureaus that my accounts have been paid in full. To this date Navient has not taken action on my requests. As of today, XX/XX/XXXX, Navient website shows that I owe a total balance of {$22000.00} ( Account # XXXX ). Further, the loans balance continue to show on my credit report.",,"Navient Solutions, LLC.",FL,334XX,Servicemember,Consent provided,Web,8/14/17,Closed with explanation,Yes,N/A,2631947
7/30/18,Student loan,Private student loan,Struggling to repay your loan,Problem lowering your monthly payments,I began paying for my loan with Wells Fargo this year and it is over {$910.00} a month.i borrowed {$45000.00} and now with interest is over {$90000.00}. I am have a hard time paying the loan each month and Wells Fargo would not take off interest or reduce payments. Its over {$910.00} for 15 years. Please is there any way you can get the balance lowered so the payment will be smaller please?,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,SC,296XX,Servicemember,Consent provided,Web,7/30/18,Closed with explanation,Yes,N/A,2976807
5/9/16,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,,,"Navient Solutions, LLC.",TN,38104,Servicemember,N/A,Phone,5/11/16,Closed with explanation,Yes,Yes,1915329
6/14/17,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Trouble with how payments are being handled,"In XXXX XXXX 2017, I was notified via my employer of a wage garnishment I was not aware of. I did research in an effort to find out exactly what had occurred. I went to the payroll department to find a letter, not a court order for garnishment of wages. In the letter, the following Federal law was quoted : 102-164. Upon further inquiry, it is a company called National Enterprise Systems. They were garnishing me without notification or any means of making arrangements to settle the debt. I have never heard of this company. Do I have students loans? Absolutely. I am currently in contact with those debtors. The amount of money they are taking out has caused grave consequences to my family. I am currently not able to provide for my children, I have XXXX and I also help my elderly parents which I have been providing assistance to. They are garnishing close to {$500.00} per month. I am not able to pay my rent in XXXX. I received a copy of the letter today from my employer thinking it was a court order which gives consumers the right to respond and settle the debt. It is not a court order, but a letter which I have attached. I am unable to survive with this kind of money being deducted from my account without sufficient notification to settle this dispute.
<P/>
The letter is attached which was obtained today. I contacted them with the number retrieved from the letter trying to find validity.
<P/>
Based on the law they quoted, the following did not occur. : ( 2 ) the individual shall be provided written notice, sent by mail to the individuals last known address, a minimum of 30 days prior to the initiation of proceedings, from the guaranty agency or the Secretary, as appropriate, informing such individual of the nature and amount of the loan obligation to be collected, the intention of the guaranty agency or the Secretary, as appropriate, to initiate proceedings to collect the debt through deductions from pay, and an explanation of the rights of the individual under this section ; ( 3 ) the individual shall be provided an opportunity to inspect and copy records relating to the debt ; ( 4 ) the individual shall be provided an opportunity to enter into a written agreement with the guaranty agency or the Secretary, under terms agreeable to the Secretary, or the head of the guaranty agency or his designee, as appropriate, to establish a schedule for the repayment of the debt ; ( 5 ) the individual shall be provided an opportunity for a hearing in accordance with subsection ( b ) on the determination of the Secretary or the guaranty agency, as appropriate, concerning the existence or the amount of the debt, and, in the case of an individual whose repayment schedule is established other than by a written agreement pursuant to paragraph ( 4 ), concerning the terms of the repayment schedule ; ( 6 ) the employer shall pay to the Secretary or the guaranty agency as directed in the withholding order issued in this action, and shall be liable for, and the Secretary or the guaranty agency, as appropriate, may sue the employer in a State or Federal court of competent jurisdiction to recover, any amount that such employer fails to withhold from wages due an employee following receipt of such employer of notice of the withholding order, plus attorneys fees, costs, and, in the courts discretion, punitive damages, but such employer shall not be required to vary the normal pay and disbursement cycles in order to comply with this paragraph ; ( 7 ) if an individual has been reemployed within 12 months after having been involuntarily separated from employment, no amount may be deducted from the disposable pay of such individual until such individual has been reemployed continuously for at least 12 months ; and ( 8 ) an employer may not discharge from employment, refuse to employ, or take disciplinary action against an individual subject to wage withholding in accordance with this section by reason of the fact that the individuals wages have been subject to garnishment under this section, and such individual may sue in a State or Federal court of competent jurisdiction any employer who takes such action. The court shall award attorneys fees to a prevailing employee and, in its discretion, may order reinstatement of the individual, award punitive damages and back pay to the employee, or order such other remedy as may be reasonably necessary. Based on the law provided in their letter, not court order the following information is stated : I was never contacted via phone, mail, email or any other entity. If they were able to acquire my employment information, surely they could have contacted me if they had no way of contacting me. None of this occurred. I am not able to pay basic bills with this wage garnishment. I 'm am behind on basic needs after 3 garnishment deductions. Help is desperately needed in this matter.
<P/><P/>
( b ) Hearing requirements A hearing described in subsection ( a ) ( 5 ) shall be provided prior to issuance of a garnishment order if the individual, on or before the 15th day following the mailing of the notice described in subsection ( a ) ( 2 ), and in accordance with such procedures as the Secretary or the head of the guaranty agency, as appropriate, may prescribe, files a petition requesting such a hearing. If the individual does not file a petition requesting a hearing prior to such date, the Secretary or the guaranty agency, as appropriate, shall provide the individual a hearing under subsection ( a ) ( 5 ) upon request, but such hearing need not be provided prior to issuance of a garnishment order. A hearing under subsection ( a ) ( 5 ) may not be conducted by an individual under the supervision or control of the head of the guaranty agency, except that nothing in this sentence shall be construed to prohibit the appointment of an administrative law judge. The hearing official shall issue a final decision at the earliest practicable date, but not later than 60 days after the filing of the petition requesting the hearing.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"National Enterprise Systems, Inc.",FL,330XX,Servicemember,Consent provided,Web,6/14/17,Closed with explanation,Yes,N/A,2542777
5/20/18,Student loan,Private student loan,Dealing with your lender or servicer,Received bad information about your loan,Account # XXXX -- Navient changed my interest rate from a High 6 to a 9.75 % interest rate.,,"Navient Solutions, LLC.",TX,752XX,Servicemember,Consent provided,Web,5/20/18,Closed with explanation,Yes,N/A,2912113
8/1/17,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Need information about your loan balance or loan terms,,,HEARTLAND PAYMENT SYSTEMS INC,OK,73501,Servicemember,Consent not provided,Web,2/14/18,Closed with explanation,Yes,N/A,2591302
2/14/18,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,,,"Navient Solutions, LLC.",SC,29621,Servicemember,Consent not provided,Web,2/14/18,Closed with explanation,Yes,N/A,2814573
3/14/18,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Trouble with how payments are being handled,"I initially had my loan with XXXX University and was paying them back under the terms specified. The next thing I know my loan has doubled from what it initially was and bought out by XXXX. I then began paying them as stated the amount has now doubled. I paid them for several years and then my loan was sold again to Navient and I am back to paying the original loan that I started out with XXXX University. I feel that this whole system is a scam and I have been paying these people for years. I feel this on-going practice is robbing me blind. I graduated from XXXX University in 2008. I have been paying on this student load since before that time. I would like someone to investigate this matter. I tried to do a loan forgiveness because I work with XXXX XXXX but was denied because they said the dates did not match what they had on record. I feel that was a total fabrication on Navient 's part. Again, please have someone investigate this matter as soon as possible. My name is XXXX XXXX XXXX my address is XXXX XXXX XXXX XXXX XXXX, XXXX XXXX, XXXX XXXX. My previous address was in XXXX XXXX, XXXX Thank you for your assistance in this matter.",,"Navient Solutions, LLC.",AL,,Servicemember,Consent provided,Web,3/14/18,Closed with explanation,Yes,N/A,2842960
1/19/18,Student loan,Private student loan,Dealing with your lender or servicer,Don't agree with the fees charged,,,"Navient Solutions, LLC.",CA,95240,Servicemember,Consent not provided,Web,1/19/18,Closed with explanation,Yes,N/A,2786993
2/6/16,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,"Between XXXX/XXXX/XXXX and XXXX XXXX, I had several conversations with AES reps. On at least XXXX occasions, I was told by the reps not to worry if I went over 30 days late on my payments, since they were n't reporting until 60 days late. 

I am requesting the voice recordings for the period mentioned above be reviewed by a consumer advocate to confirm what I 'm saying is truthful, and I am motioning the removal of the 30 day late payment adverse credit reporting of XXXX XXXX be removed from my credit report. 

AES needs to take accountability for their statements to their clients. 

I had another similar experience with another lender, and CFPB had their consumer advocate review the lenders recording confirming my statements to have been true, thus reversing the negative credit reporting. 

As an XXXX, I have the public stake their lives on my integrity and the quality of my work. My co-signer is my brother, who is a XXXX, who puts his life in harms way to save others. 

All I 'm asking is for the basic decency and integrity from the lender, as to stand behind what their reps tell their borrowers, and take responsibility when they make a mistake.",,AES/PHEAA,GA,313XX,Servicemember,Consent provided,Web,2/6/16,Closed with explanation,Yes,No,1776219
1/22/18,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Trouble with how payments are being handled,,,"Navient Solutions, LLC.",VA,22191,Servicemember,Consent not provided,Web,1/22/18,Closed with explanation,Yes,N/A,2789443
3/17/16,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Don't agree with fees charged,"Last time I was in school was XX/XX/2006 I had dealt with XXXX XXXX for years before getting things paid. I also was apart of a class action lawsuit against them in which we won. So now I find out my tax return was Allocated by a company called Navient which I had to XXXX to see its a renamed XXXX XXXX basically. Now, 10 yrs after I 've been out of school and four years since I last heard from anyone from XXXX XXXX or Navient my whole tax return is taken? Last Iheard was the minimal settlement check I received from the hearing. Why is Navient trying to collect a debt that has already been dealt with? If it was n't dealt with I 'm sure it would n't have been almost 11 yrs before tax money would be allocated. Navient is doing the same thing XXXX XXXX got sued for but they do n't get monitored so they get away with this kind of stuff.",,United Student Aid (USA) Funds,IN,462XX,Servicemember,Consent provided,Web,3/25/16,Closed with explanation,Yes,Yes,1835155
6/2/14,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,,,"Navient Solutions, LLC.",GA,301XX,Servicemember,N/A,Web,6/2/14,Closed with explanation,Yes,No,877482
6/15/17,Student loan,Federal student loan servicing,Struggling to repay your loan,Problem lowering your monthly payments,,,"Navient Solutions, LLC.",NY,140XX,Servicemember,Consent not provided,Web,6/15/17,Closed with explanation,Yes,N/A,2550349
3/15/16,Student loan,Non-federal student loan,Can't repay my loan,Can't get flexible payment options,,,AES/PHEAA,PA,170XX,Servicemember,N/A,Referral,3/17/16,Closed with explanation,Yes,No,1832606
1/19/17,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Don't agree with fees charged,,,"Navient Solutions, LLC.",LA,712XX,Servicemember,Consent not provided,Web,1/23/17,Closed with explanation,Yes,No,2298485
12/17/13,Student loan,Non-federal student loan,Getting a loan,,,,"Navient Solutions, LLC.",MA,021XX,Servicemember,N/A,Web,12/23/13,Closed with explanation,Yes,No,637601
4/28/18,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,,,JPMORGAN CHASE & CO.,NY,109XX,Servicemember,Consent not provided,Web,4/28/18,Closed with explanation,Yes,N/A,2890391
1/19/17,Student loan,Non-federal student loan,Can't repay my loan,Can't get flexible payment options,,,"Navient Solutions, LLC.",FL,327XX,Servicemember,Consent not provided,Web,1/24/17,Closed with explanation,Yes,No,2297175
1/23/13,Student loan,Non-federal student loan,Repaying your loan,,,,AES/PHEAA,AK,997XX,Servicemember,N/A,Web,1/23/13,Closed with explanation,Yes,No,254230
6/19/14,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,,,"Navient Solutions, LLC.",GA,301XX,Servicemember,N/A,Web,6/19/14,Closed with explanation,Yes,No,901901
10/7/14,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,,,AES/PHEAA,VA,238XX,Servicemember,N/A,Web,10/7/14,Closed with explanation,Yes,Yes,1061439
10/2/12,Student loan,Non-federal student loan,Problems when you are unable to pay,,,,"Navient Solutions, LLC.",NY,142XX,Servicemember,N/A,Web,10/2/12,Closed with non-monetary relief,Yes,No,164673
8/15/12,Student loan,Non-federal student loan,Problems when you are unable to pay,,,,"Navient Solutions, LLC.",AL,363XX,Servicemember,N/A,Web,8/18/12,Closed with explanation,Yes,No,136364
9/5/12,Student loan,Non-federal student loan,Problems when you are unable to pay,,,,"Navient Solutions, LLC.",IL,613XX,Servicemember,N/A,Web,9/7/12,Closed with monetary relief,Yes,No,146450
6/10/14,Student loan,Non-federal student loan,Dealing with my lender or servicer,Keep getting calls about my loan,,,AES/PHEAA,VA,220XX,Servicemember,N/A,Web,6/12/14,Closed with explanation,Yes,No,887482
4/26/13,Student loan,Non-federal student loan,Repaying your loan,,,,JPMORGAN CHASE & CO.,TX,762XX,Servicemember,N/A,Web,4/30/13,Closed with explanation,Yes,No,392803
11/18/16,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Trouble with how payments are handled,,Company believes it acted appropriately as authorized by contract or law,Equitable Acceptance Corporation,FL,347XX,Servicemember,N/A,Phone,11/21/16,Closed with explanation,Yes,No,2215266
3/4/15,Student loan,Non-federal student loan,Dealing with my lender or servicer,Don't agree with fees charged,,,TRANSWORLD SYSTEMS INC,AR,716XX,Servicemember,N/A,Web,3/9/15,Closed with explanation,Yes,No,1266878
4/23/13,Student loan,Non-federal student loan,Problems when you are unable to pay,,,,AES/PHEAA,PA,161XX,Servicemember,N/A,Web,4/25/13,Closed with non-monetary relief,Yes,No,390851
9/11/12,Student loan,Non-federal student loan,Repaying your loan,,,,AES/PHEAA,UT,845XX,Servicemember,N/A,Web,9/13/12,Closed with non-monetary relief,Yes,No,150823
4/16/16,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,,,"Navient Solutions, LLC.",AZ,85338,Servicemember,Consent not provided,Web,4/18/16,Closed with monetary relief,Yes,No,1883109
4/10/18,Student loan,Private student loan,Dealing with your lender or servicer,Received bad information about your loan,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,ME,045XX,Servicemember,Consent not provided,Web,4/10/18,Closed with explanation,Yes,N/A,2869763
1/19/17,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,,,"Navient Solutions, LLC.",AR,727XX,Servicemember,Consent not provided,Web,1/19/17,Closed with explanation,Yes,No,2297467
10/1/15,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,,,"Williams & Fudge, Inc",FL,337XX,Servicemember,Consent not provided,Web,10/6/15,Closed with explanation,Yes,No,1588870
5/2/18,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,,,AES/PHEAA,GA,315XX,Servicemember,Consent not provided,Web,5/3/18,Closed with explanation,Yes,N/A,2895026
9/24/13,Student loan,Non-federal student loan,Repaying your loan,,,,"Navient Solutions, LLC.",NJ,085XX,Servicemember,N/A,Postal mail,9/25/13,Closed with monetary relief,Yes,No,540333
1/20/17,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Trouble with how payments are handled,,,"Navient Solutions, LLC.",OH,440XX,Servicemember,Consent not provided,Web,2/9/17,Closed with explanation,Yes,No,2298413
2/7/17,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Don't agree with fees charged,,,"Navient Solutions, LLC.",WA,980XX,Servicemember,N/A,Referral,2/10/17,Closed with explanation,Yes,No,2331424
12/13/12,Student loan,Non-federal student loan,Problems when you are unable to pay,,,,JPMORGAN CHASE & CO.,MA,021XX,Servicemember,N/A,Web,12/13/12,Closed with explanation,Yes,No,209666
2/8/18,Student loan,Federal student loan servicing,Struggling to repay your loan,Problem lowering your monthly payments,,,"Navient Solutions, LLC.",VA,220XX,Servicemember,Consent not provided,Web,2/8/18,Closed with explanation,Yes,N/A,2807840
3/25/15,Student loan,Non-federal student loan,Dealing with my lender or servicer,Need information about my balance/terms,,,Genesis Lending,NY,136XX,Servicemember,Consent not provided,Web,3/25/15,Closed with explanation,Yes,No,1299790
6/2/14,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,,,"Navient Solutions, LLC.",FL,324XX,Servicemember,N/A,Web,6/2/14,Closed with explanation,Yes,No,876450
5/17/12,Student loan,Non-federal student loan,Problems when you are unable to pay,,,,PNC Bank N.A.,MD,210XX,Servicemember,N/A,Phone,5/18/12,Closed with relief,Yes,No,81239
5/1/13,Student loan,Non-federal student loan,Problems when you are unable to pay,,,,KEYCORP,NY,100XX,Servicemember,N/A,Web,5/2/13,Closed with explanation,Yes,No,396644
7/30/14,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,,,WELLS FARGO & COMPANY,WI,538XX,Servicemember,N/A,Web,7/30/14,Closed with non-monetary relief,Yes,No,961459
7/31/15,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,,,DISCOVER BANK,NH,035XX,Servicemember,N/A,Postal mail,8/6/15,Closed with non-monetary relief,Yes,No,1496052
11/20/13,Student loan,Non-federal student loan,Problems when you are unable to pay,,,,JPMORGAN CHASE & CO.,MD,207XX,Servicemember,N/A,Web,11/22/13,Closed with explanation,Yes,No,605672
9/18/17,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,,,AES/PHEAA,GA,303XX,Servicemember,Consent not provided,Web,9/18/17,Closed with explanation,Yes,N/A,2676656
11/21/16,Student loan,Non-federal student loan,Getting a loan,Qualify for a better loan than offered,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",OH,440XX,Servicemember,Consent not provided,Web,11/21/16,Closed with explanation,Yes,No,2218315
4/3/14,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,,,"Navient Solutions, LLC.",NY,136XX,Servicemember,N/A,Web,4/3/14,Closed with explanation,Yes,No,791678
8/8/17,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Trouble with how payments are being handled,"My original student loans were through Nevient and since I am XXXX and on XXXX I am unable to work, therefore pay back what I owe. In 2016 i was called by XXXX XXXX XXXX XXXX as a loan forgiveness program. Since i am XXXX and receiving no help thru my loan company I signed on to this program. Since signing on I am charged {$19.00} a month and my loan balance keeps increasing every month on my credit score. I have tried calling with no success of getting a hold of anyone from the original loan program to the student relief program. I feel like I have been scamed all around ... and just need this nightmare to end.",,"Navient Solutions, LLC.",ID,83840,Servicemember,Consent provided,Web,8/8/17,Closed with explanation,Yes,N/A,2598054
4/19/12,Student loan,Non-federal student loan,Repaying your loan,,,,"Navient Solutions, LLC.",CO,809XX,Servicemember,N/A,Referral,4/23/12,Closed with non-monetary relief,Yes,Yes,63010
11/1/17,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Trouble with how payments are being handled,,,"Navient Solutions, LLC.",CO,809XX,Servicemember,Consent not provided,Web,11/1/17,Closed with explanation,Yes,N/A,2717990
1/19/17,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Received bad information about my loan,,,"Navient Solutions, LLC.",OH,443XX,Servicemember,Consent not provided,Web,1/19/17,Closed with explanation,Yes,No,2298421
8/28/16,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,,,"Navient Solutions, LLC.",MD,217XX,Servicemember,Consent not provided,Web,8/28/16,Closed with non-monetary relief,Yes,Yes,2084490
9/17/14,Student loan,Non-federal student loan,Can't repay my loan,Can't temporarily postpone payments,,,"Navient Solutions, LLC.",ME,049XX,Servicemember,N/A,Web,9/17/14,Closed with non-monetary relief,Yes,No,1034052
3/6/12,Student loan,Non-federal student loan,Repaying your loan,,,,"CITIBANK, N.A.",PA,161XX,Servicemember,N/A,Web,3/7/12,Closed without relief,Yes,No,31180
5/10/18,Student loan,Federal student loan servicing,Incorrect information on your report,Account information incorrect,,,AES/PHEAA,IL,604XX,Servicemember,Consent not provided,Web,5/16/18,Closed with explanation,Yes,N/A,2902471
1/24/14,Student loan,Non-federal student loan,Can't repay my loan,Can't temporarily postpone payments,,,"Navient Solutions, LLC.",OH,452XX,Servicemember,N/A,Web,1/24/14,Closed with explanation,Yes,No,685364
5/17/17,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Trouble with how payments are being handled,,,"Navient Solutions, LLC.",CA,902XX,Servicemember,Consent not provided,Web,5/17/17,Closed with explanation,Yes,N/A,2486774
8/24/15,Student loan,Non-federal student loan,Can't repay my loan,Can't get flexible payment options,,,"Navient Solutions, LLC.",OK,741XX,Servicemember,N/A,Phone,8/26/15,Closed with explanation,Yes,Yes,1532824
10/9/15,Student loan,Non-federal student loan,Can't repay my loan,Can't get flexible payment options,,,"Navient Solutions, LLC.",UT,841XX,Servicemember,Consent not provided,Web,10/13/15,Closed with explanation,Yes,No,1601145
8/28/17,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,,,"Navient Solutions, LLC.",WA,983XX,Servicemember,Other,Web,8/28/17,Closed with explanation,Yes,N/A,2652791
3/15/18,Student loan,Private student loan,Struggling to repay your loan,Can't get other flexible options for repaying your loan,"I am a XXXX XXXX XXXX XXXX XXXX XXXX veteran. I am unemployable as I am almost XXXX XXXX. I have a student loan with American Education Services. I was paying them up until my unemployment check was available. Now, I rely only on my XXXX compensation check from the VA to sustain myself and my family. It is already hard enough to make ends meet, as I have a son in college and a XXXX years old daughter. I have tried many times to ask to cancel my loan, or at least to reduce my monthly payments, but I was denied each and every time. I have sent all documentations they have requested that show my XXXX, but their answers still the same, I have to pay {$750.00} each month. Now, they send me to collection. Would please help me. Thank you.",,AES/PHEAA,MD,209XX,Servicemember,Consent provided,Web,3/15/18,Closed with explanation,Yes,N/A,2844924
1/18/17,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Received bad information about my loan,"Back in XX/XX/XXXX I consolidated my student loans ( Stafford ) with Nelnet so that I could begin payments towards the 10 year/120 payment loan forgiveness option that exists for public servants. When consolidating, I asked Nelnet if these loans were in the correct category for the 10 year loan forgiveness and was informed that they are/were. I have made regular payments since this time based on this. When I returned from service with the military in XX/XX/XXXX I contacted Nelnet to inquire into how many more payments would be needed. I was informed that around {$100000.00} were not in the correct type of repayment method. I would like for the CFPB to look into these practices to determine if either it was a mistake by Nelnet or if it is a fraudulent practice. If it is a mistake, I would like to get my loan payments back on track so that the loan forgiveness can take place in 2-3 years.",,"NELNET, INC.",MD,,Servicemember,Consent provided,Web,1/18/17,Closed with explanation,Yes,Yes,2295478
1/6/18,Student loan,Federal student loan servicing,Struggling to repay your loan,Problem lowering your monthly payments,My Student Loan Servicer XXXX XXXX has obtained my loans from XXXX XXXX with a consolidation option I have been with XXXX XXXX for 5 years. My loan amounts exceed what I originally borrowed the amounts continue to increase. I am not in default I have repeatedly asked to have my payments lowered but have struggled to pay. I have been certified for the loan forgiveness program through my employer they only credited me XXXX qualifying payments I need a total of 120. I have been with my employer since XXXX. I have made more qualifying payments than what they are reporting. My current loan balance is {$180000.00}. I need help.,,AES/PHEAA,GA,300XX,Servicemember,Consent provided,Web,1/6/18,Closed with explanation,Yes,N/A,2773811
10/20/16,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Received bad information about my loan,"I graduated in XXXX with a XXXX XXXX degree and went to work for XXXX in Ohio. My family has a long history of XXXX. I was told in XXXX that XXXX Loans enrolled me in the Public Service Loan Forgiveness program. They did n't and they went out of business. They sold my loan to XXXX. I contacted them to make sure that it got transferred properly and that 's when I found out they never put my loan into that program. They assured me that they would fix it and that my loan would be in that program. They did n't and they went out of business. They sold my loan to Mohela. I just found out today that I have never been put on the right kind of repayment plan. 

I have made 7 years of payments, always on time, and none of them count. I was supposed to have loan forgiveness after 10 years of on time payments. I just want credit for my 7 years, because I had no way to know or even no way to check if what I was told actually happened. Even if the total of my payments would have been more than what I did pay, I am willing to pay any additional funds that I would have paid, had they done what they said they were doing. 

I am XXXX years old, and I want to retire someday, sooner rather than later. I have very little to retire on because I was a military spouse for 20 years and had a sporadic work history, and now I work in XXXX, so the social security administration is going to cheat me out of a lot of my retirement because I get XXXX retirement for part of my work history. ( That 's another messed up financial situation that your agency should look at. ) I will probably have to buy a mobile home with money I get from my parent 's house when they pass away, just to be able to afford to live in retirement. I ca n't pay student loans in retirement. If I could discharge them in bankruptcy, I would since I feel like I have been cheated. I have always paid all of my debts. I even almost lost a house in the recession but worked really hard to sell it at a loss rather than default. I lost XXXX dollars in home-ownership in the recession, because when I sold house number XXXX, it was XXXX and I had no idea that the whole economy would tank in XXXX. I purchased a condo in XXXX and it is currently worth XXXX less that I originally paid for it. 

When I first discovered the problem with XXXX, I found evidence of XXXX Loans doing this with a lot of people, but I no longer have the information. I know it 's there and could be found with some intensive XXXX or other searching. Please help me. I have always tried to do the right thing in life, and have gotten XXXX by circumstances, but this is just wrong and seems like it should be able to be fixed, since it was a couple of people who either lied or were just too incompetent to do the job right. No one wants to take any responsibility, and I just want this corrected since I did what I was supposed to do, and have dedicated my life to XXXX. I realize that the people who messed up my loan not once, but twice, are not able to be found. But I want someone now to step up and do the right thing, and fix this error. Thank you.",Company believes it acted appropriately as authorized by contract or law,MOHELA,OH,432XX,Servicemember,Consent provided,Web,10/20/16,Closed with explanation,Yes,No,2170524
1/23/17,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,"I had discover student loans. I refinanced them with XXXX. XXXX sent them the check for the refinance on XXXX XXXX 2016. Discover cashed the check on XXXX XXXX 2016. The money never posted to my account. Discover says although they might have cashed the check, they can not locate the funds therefore they can not do anything about it. XXXX has sent check images to prove the check was sent and cashed but discover still say that it is not their problem. They are not doing anything to resolve the problem. They will not talk to XXXX about the issue. Discover still says I owe about XXXX dollars when my loan through them should have a {$0.00} balance. I have called them almost every day since XXXX to resolve the problem. I keep getting pushed around.",,DISCOVER BANK,IL,622XX,Servicemember,Consent provided,Web,1/23/17,Closed with non-monetary relief,Yes,No,2309388
4/14/17,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Received bad information about my loan,"I have had issues paying my student loans in the past and have worked dilligently for years to ensure I could actually afford my payments. When my payments went up from $ XXXX/mo to $ XXXX/mo- I became unable to make my payments altogether. I applied for XXXX Loan Forgiveness and was indeed granted a {$17000.00} forgiveness on my {$130000.00} of student loan debt ( mostly interest and late fees ). This made my payments GO UP! I called Fedloan in XX/XX/2016 and was told I could change my payment plan which would lower my payments back to around $ XXXX/month- which I feel like I can probably afford. When I got my statement for XX/XX/2016- my payments amount had not changed from {$340.00} like I was told it would. I was also told I would get a month of deferment while switching to the new plan and would have a $ 5 monthly payment for XX/XX/XXXX. This was a lie and I was completely deceived by the people at Fedloan, almost like they wanted me to think I had solved my issues but nothing changed at all! I can not afford the new higher payment and am now in danger of default all because I was deceived and told things that simply were n't true. They have once again destroyed my credit and killed my financial future yet again! I wish I had NEVER taken a single loan out and honestly will begin telling my XXXX in class ( I 'm a XXXX ) that college is a waste of money. My loans are actively ruining my life, if I could declare bankruptcy on these XXXX loans I would! I am completely trapped and helpless in this situation- ALL because I was LIED TO!! Fedloan is perhaps the worst example of what happens when the Government gets into the loan business. Please hold this organization to account for destroying my financial life, time and again!",,AES/PHEAA,OK,731XX,Servicemember,Consent provided,Web,4/14/17,Closed with non-monetary relief,Yes,No,2435705
